Number_of_Animals,YEAR,MONTH,OutcomeType,OutcomeSubtype,OBJECTID
20,2010,4,EUTH,BEHAV HIST,1988
138,2010,4,EUTH,BEHAV OBSV,1989
22,2010,4,EUTH,BREED,1990
38,2010,4,EUTH,CONTAG DIS,1991
2,2010,4,EUTH,FELV,1992
82,2010,4,EUTH,FERAL,1993
75,2010,4,EUTH,MEDICAL,1994
1,2010,4,EUTH,PREGNANT,1995
45,2010,4,EUTH,REQUESTED,1996
92,2010,4,EUTH,TIME/SPACE,1997
14,2010,4,EUTH,TOO OLD,1998
59,2010,4,EUTH,TOO YOUNG,1999
2,2010,4,FOSTER,,2000
17,2010,4,RELEASED,,2001
43,2010,4,RELEASED,IN SURGERY,2002
6,2010,4,RELOCATE,,2003
120,2010,4,RTO,,2004
6,2010,4,RTO,IN FIELD,2005
23,2010,4,TRANSFER,,2006
19,2010,4,TRANSFER,AN CONTROL,2007
74,2010,4,TRANSFER,KHS,2008
68,2010,4,TRANSFER,RESCUE GRP,2009
11,2010,4,TRANSFER,WILDLIFE,2010
1,2010,5,,,2011
3,2010,5,ADOPTION,,2012
35,2010,5,ADOPTION,FRIEND,2013
1,2010,5,ADOPTION,NEWSLETTER,2014
6,2010,5,ADOPTION,PROMO,2015
3,2010,5,ADOPTION,PRV ADOPT,2016
33,2010,5,ADOPTION,PS HURST,2017
4,2010,5,ADOPTION,PS WEST,2018
3,2010,5,ADOPTION,REFERRAL,2019
18,2010,5,ADOPTION,WALK IN,2020
20,2010,5,ADOPTION,WEB METRO,2021
13,2010,5,ADOPTION,WEB PF,2022
9,2010,5,DIED,,2023
18,2010,5,DIED,IN FOSTER,2024
8,2010,5,DIED,IN KENNEL,2025
1,2010,5,DISPOSAL,DEAD ARRIV,2026
32,2010,5,EUTH,,2027
18,2010,5,EUTH,BEHAV HIST,2028
118,2010,5,EUTH,BEHAV OBSV,2029
32,2010,5,EUTH,BREED,2030
39,2010,5,EUTH,CONTAG DIS,2031
41,2010,5,EUTH,FERAL,2032
69,2010,5,EUTH,MEDICAL,2033
1,2010,5,EUTH,PREGNANT,2034
46,2010,5,EUTH,REQUESTED,2035
80,2010,5,EUTH,TIME/SPACE,2036
16,2010,5,EUTH,TOO OLD,2037
89,2010,5,EUTH,TOO YOUNG,2038
1,2010,5,FOSTER,,2039
1,2010,5,MISSING,IN FOSTER,2040
10,2010,5,MISSING,IN KENNEL,2041
2,2010,5,MISSING,STOLEN,2042
35,2010,5,RELEASED,,2043
36,2010,5,RELEASED,IN SURGERY,2044
1,2010,5,RELOCATE,,2045
88,2010,5,RTO,,2046
12,2010,5,RTO,IN FIELD,2047
34,2010,5,TRANSFER,,2048
13,2010,5,TRANSFER,AN CONTROL,2049
81,2010,5,TRANSFER,KHS,2050
73,2010,5,TRANSFER,RESCUE GRP,2051
1,2010,5,TRANSFER,WILDLIFE,2052
2,2010,6,,,2053
3,2010,6,ADOPTION,,2054
7,2010,6,ADOPTION,3RD PARTY,2055
40,2010,6,ADOPTION,FRIEND,2056
2,2010,6,ADOPTION,NEWSLETTER,2057
1,2010,6,ADOPTION,PROMO,2058
2,2010,6,ADOPTION,PRV ADOPT,2059
40,2010,6,ADOPTION,PS HURST,2060
1,2010,6,ADOPTION,REFERRAL,2061
1,2010,6,ADOPTION,TV METRO,2062
2,2010,6,ADOPTION,TV OTHER,2063
1,2010,6,ADOPTION,TV WHAS,2064
19,2010,6,ADOPTION,WALK IN,2065
18,2010,6,ADOPTION,WEB METRO,2066
31,2010,6,ADOPTION,WEB PF,2067
8,2010,6,DIED,,2068
1,2010,6,DIED,ENROUTE,2069
8,2010,6,DIED,IN FOSTER,2070
25,2010,6,DIED,IN KENNEL,2071
1,2010,6,DISPOSAL,DEAD ARRIV,2072
53,2010,6,EUTH,,2073
17,2010,6,EUTH,BEHAV HIST,2074
107,2010,6,EUTH,BEHAV OBSV,2075
37,2010,6,EUTH,BREED,2076
71,2010,6,EUTH,CONTAG DIS,2077
52,2010,6,EUTH,FERAL,2078
80,2010,6,EUTH,MEDICAL,2079
1,2010,6,EUTH,PREGNANT,2080
54,2010,6,EUTH,REQUESTED,2081
175,2010,6,EUTH,TIME/SPACE,2082
30,2010,6,EUTH,TOO OLD,2083
256,2010,6,EUTH,TOO YOUNG,2084
6,2010,6,MISSING,IN KENNEL,2085
19,2010,6,RELEASED,,2086
45,2010,6,RELEASED,IN SURGERY,2087
90,2010,6,RTO,,2088
15,2010,6,RTO,IN FIELD,2089
18,2010,6,TRANSFER,,2090
116,2010,6,TRANSFER,AN CONTROL,2091
62,2010,6,TRANSFER,KHS,2092
88,2010,6,TRANSFER,RESCUE GRP,2093
1,2010,6,TRANSFER,WILDLIFE,2094
5,2010,7,ADOPTION,,2095
2,2010,7,ADOPTION,3RD PARTY,2096
2,2010,7,ADOPTION,EXCHANGE,2097
34,2010,7,ADOPTION,FRIEND,2098
1,2010,7,ADOPTION,NEWSLETTER,2099
12,2010,7,ADOPTION,PROMO,2100
34,2010,7,ADOPTION,PS HURST,2101
1,2010,7,ADOPTION,RADIO WHAS,2102
2,2010,7,ADOPTION,TV OTHER,2103
22,2010,7,ADOPTION,WALK IN,2104
25,2010,7,ADOPTION,WEB METRO,2105
28,2010,7,ADOPTION,WEB PF,2106
1,2010,7,DIED,,2107
3,2010,7,DIED,ENROUTE,2108
10,2010,7,DIED,IN FOSTER,2109
23,2010,7,DIED,IN KENNEL,2110
1,2010,7,DIED,IN SURGERY,2111
1,2010,7,DISPOSAL,,2112
8,2010,7,DISPOSAL,DEAD ARRIV,2113
38,2010,7,EUTH,,2114
25,2010,7,EUTH,BEHAV HIST,2115
145,2010,7,EUTH,BEHAV OBSV,2116
30,2010,7,EUTH,BREED,2117
141,2010,7,EUTH,CONTAG DIS,2118
43,2010,7,EUTH,FERAL,2119
135,2010,7,EUTH,MEDICAL,2120
56,2010,7,EUTH,REQUESTED,2121
167,2010,7,EUTH,TIME/SPACE,2122
26,2010,7,EUTH,TOO OLD,2123
185,2010,7,EUTH,TOO YOUNG,2124
1,2010,7,FOSTER,TIME/SPACE,2125
2,2010,7,MISSING,IN FOSTER,2126
1,2010,7,MISSING,STOLEN,2127
22,2010,7,RELEASED,,2128
33,2010,7,RELEASED,IN SURGERY,2129
3,2010,7,RELOCATE,,2130
104,2010,7,RTO,,2131
5,2010,7,RTO,IN FIELD,2132
23,2010,7,TRANSFER,,2133
1,2010,7,TRANSFER,AN CONTROL,2134
92,2010,7,TRANSFER,KHS,2135
99,2010,7,TRANSFER,RESCUE GRP,2136
12,2010,7,TRANSFER,WILDLIFE,2137
2,2010,8,,,2138
8,2010,8,ADOPTION,,2139
2,2010,8,ADOPTION,3RD PARTY,2140
1,2010,8,ADOPTION,EXCHANGE,2141
38,2010,8,ADOPTION,FRIEND,2142
11,2010,8,ADOPTION,NEWSLETTER,2143
4,2010,8,ADOPTION,PROMO,2144
5,2010,8,ADOPTION,PRV ADOPT,2145
32,2010,8,ADOPTION,PS HURST,2146
3,2010,8,ADOPTION,REFERRAL,2147
1,2010,8,ADOPTION,TV WHAS,2148
32,2010,8,ADOPTION,WALK IN,2149
26,2010,8,ADOPTION,WEB METRO,2150
40,2010,8,ADOPTION,WEB PF,2151
1,2010,8,ADOPTION,WEB PH,2152
5,2010,8,DIED,,2153
2,2010,8,DIED,ENROUTE,2154
21,2010,8,DIED,IN FOSTER,2155
18,2010,8,DIED,IN KENNEL,2156
2,2010,8,DIED,IN SURGERY,2157
1,2010,8,DISPOSAL,,2158
1,2010,8,DISPOSAL,DEAD ARRIV,2159
25,2010,8,EUTH,,2160
17,2010,8,EUTH,BEHAV HIST,2161
157,2010,8,EUTH,BEHAV OBSV,2162
37,2010,8,EUTH,BREED,2163
105,2010,8,EUTH,CONTAG DIS,2164
69,2010,8,EUTH,FERAL,2165
1,2010,8,EUTH,HEARTWORM,2166
175,2010,8,EUTH,MEDICAL,2167
68,2010,8,EUTH,REQUESTED,2168
211,2010,8,EUTH,TIME/SPACE,2169
16,2010,8,EUTH,TOO OLD,2170
176,2010,8,EUTH,TOO YOUNG,2171
1,2010,8,MISSING,IN FOSTER,2172
2,2010,8,MISSING,STOLEN,2173
22,2010,8,RELEASED,,2174
32,2010,8,RELEASED,IN SURGERY,2175
3,2010,8,RELOCATE,,2176
89,2010,8,RTO,,2177
10,2010,8,RTO,IN FIELD,2178
9,2010,8,TRANSFER,,2179
65,2010,8,TRANSFER,KHS,2180
122,2010,8,TRANSFER,RESCUE GRP,2181
2,2010,8,TRANSFER,WILDLIFE,2182
1,2010,9,,,2183
15,2010,9,ADOPTION,,2184
8,2010,9,ADOPTION,3RD PARTY,2185
2,2010,9,ADOPTION,EXCHANGE,2186
33,2010,9,ADOPTION,FRIEND,2187
1,2010,9,ADOPTION,NEWSLETTER,2188
17,2010,9,ADOPTION,PROMO,2189
2,2010,9,ADOPTION,PRV ADOPT,2190
40,2010,9,ADOPTION,PS HURST,2191
4,2010,9,ADOPTION,PS WEST,2192
3,2010,9,ADOPTION,REFERRAL,2193
1,2010,9,ADOPTION,TV METRO,2194
2,2010,9,ADOPTION,TV WLKY,2195
13,2010,9,ADOPTION,WALK IN,2196
13,2010,9,ADOPTION,WEB METRO,2197
24,2010,9,ADOPTION,WEB PF,2198
3,2010,9,DIED,,2199
6,2010,9,DIED,ENROUTE,2200
14,2010,9,DIED,IN FOSTER,2201
24,2010,9,DIED,IN KENNEL,2202
1,2010,9,DIED,IN SURGERY,2203
6,2010,9,EUTH,,2204
13,2010,9,EUTH,BEHAV HIST,2205
140,2010,9,EUTH,BEHAV OBSV,2206
30,2010,9,EUTH,BREED,2207
69,2010,9,EUTH,CONTAG DIS,2208
50,2010,9,EUTH,FERAL,2209
105,2010,9,EUTH,MEDICAL,2210
1,2010,9,EUTH,PREGNANT,2211
55,2010,9,EUTH,REQUESTED,2212
124,2010,9,EUTH,TIME/SPACE,2213
20,2010,9,EUTH,TOO OLD,2214
194,2010,9,EUTH,TOO YOUNG,2215
1,2010,9,MISSING,,2216
1,2010,9,MISSING,IN FOSTER,2217
13,2010,9,RELEASED,,2218
31,2010,9,RELEASED,IN SURGERY,2219
1,2010,9,RELOCATE,,2220
83,2010,9,RTO,,2221
4,2010,9,RTO,IN FIELD,2222
18,2010,9,TRANSFER,,2223
47,2010,9,TRANSFER,KHS,2224
1,2010,9,TRANSFER,RES WAGGIN,2225
123,2010,9,TRANSFER,RESCUE GRP,2226
1,2010,10,,,2227
1,2010,10,ADOPTION,,2228
10,2010,10,ADOPTION,3RD PARTY,2229
3,2010,10,ADOPTION,EXCHANGE,2230
50,2010,10,ADOPTION,FRIEND,2231
3,2010,10,ADOPTION,NEWSLETTER,2232
6,2010,10,ADOPTION,PROMO,2233
3,2010,10,ADOPTION,PRV ADOPT,2234
19,2010,10,ADOPTION,PS HURST,2235
9,2010,10,ADOPTION,REFERRAL,2236
1,2010,10,ADOPTION,TV METRO,2237
4,2010,10,ADOPTION,TV WHAS,2238
1,2010,10,ADOPTION,TV WLKY,2239
22,2010,10,ADOPTION,WALK IN,2240
25,2010,10,ADOPTION,WEB METRO,2241
16,2010,10,ADOPTION,WEB PF,2242
7,2010,10,DIED,,2243
10,2010,10,DIED,ENROUTE,2244
8,2010,10,DIED,IN FOSTER,2245
14,2010,10,DIED,IN KENNEL,2246
1,2010,10,DIED,IN SURGERY,2247
3,2010,10,DISPOSAL,DEAD ARRIV,2248
34,2010,10,EUTH,,2249
12,2010,10,EUTH,BEHAV HIST,2250
91,2010,10,EUTH,BEHAV OBSV,2251
16,2010,10,EUTH,BREED,2252
46,2010,10,EUTH,CONTAG DIS,2253
75,2010,10,EUTH,FERAL,2254
79,2010,10,EUTH,MEDICAL,2255
36,2010,10,EUTH,REQUESTED,2256
150,2010,10,EUTH,TIME/SPACE,2257
23,2010,10,EUTH,TOO OLD,2258
70,2010,10,EUTH,TOO YOUNG,2259
2,2010,10,FOSTER,TOO YOUNG,2260
3,2010,10,MISSING,IN KENNEL,2261
2,2010,10,MISSING,STOLEN,2262
18,2010,10,RELEASED,,2263
31,2010,10,RELEASED,IN SURGERY,2264
87,2010,10,RTO,,2265
11,2010,10,RTO,IN FIELD,2266
2,2010,10,TRANSFER,,2267
61,2010,10,TRANSFER,KHS,2268
114,2010,10,TRANSFER,RESCUE GRP,2269
1,2010,10,TRANSFER,WILDLIFE,2270
4,2010,11,,,2271
9,2010,11,ADOPTION,,2272
4,2010,11,ADOPTION,3RD PARTY,2273
1,2010,11,ADOPTION,EXCHANGE,2274
1,2010,11,ADOPTION,FOSTER,2275
18,2010,11,ADOPTION,FRIEND,2276
1,2010,11,ADOPTION,NEWSLETTER,2277
31,2010,11,ADOPTION,PROMO,2278
2,2010,11,ADOPTION,PRV ADOPT,2279
26,2010,11,ADOPTION,PS HURST,2280
1,2010,11,ADOPTION,PS WEST,2281
1,2010,11,ADOPTION,TV METRO,2282
1,2010,11,ADOPTION,TV OTHER,2283
25,2010,11,ADOPTION,WALK IN,2284
22,2010,11,ADOPTION,WEB METRO,2285
23,2010,11,ADOPTION,WEB PF,2286
9,2010,11,DIED,,2287
1,2010,11,DIED,ENROUTE,2288
10,2010,11,DIED,IN FOSTER,2289
7,2010,11,DIED,IN KENNEL,2290
1,2010,11,DISPOSAL,DEAD ARRIV,2291
21,2010,11,EUTH,,2292
20,2010,11,EUTH,BEHAV HIST,2293
128,2010,11,EUTH,BEHAV OBSV,2294
16,2010,11,EUTH,BREED,2295
39,2010,11,EUTH,CONTAG DIS,2296
49,2010,11,EUTH,FERAL,2297
63,2010,11,EUTH,MEDICAL,2298
45,2010,11,EUTH,REQUESTED,2299
97,2010,11,EUTH,TIME/SPACE,2300
6,2010,11,EUTH,TOO OLD,2301
50,2010,11,EUTH,TOO YOUNG,2302
1,2010,11,NO SHOW,,2303
28,2010,11,RELEASED,,2304
20,2010,11,RELEASED,IN SURGERY,2305
1,2010,11,RELEASED,MEDICAL,2306
85,2010,11,RTO,,2307
7,2010,11,RTO,IN FIELD,2308
4,2010,11,TRANSFER,,2309
55,2010,11,TRANSFER,KHS,2310
107,2010,11,TRANSFER,RESCUE GRP,2311
2,2010,11,TRANSFER,WILDLIFE,2312
3,2010,12,,,2313
27,2010,12,ADOPTION,,2314
5,2010,12,ADOPTION,3RD PARTY,2315
1,2010,12,ADOPTION,FOSTER,2316
25,2010,12,ADOPTION,FRIEND,2317
2,2010,12,ADOPTION,NEWSLETTER,2318
1,2010,12,ADOPTION,PROMO,2319
3,2010,12,ADOPTION,PRV ADOPT,2320
33,2010,12,ADOPTION,PS HURST,2321
4,2010,12,ADOPTION,REFERRAL,2322
2,2010,12,ADOPTION,TV WHAS,2323
88,2010,12,ADOPTION,WALK IN,2324
4,2010,12,ADOPTION,WEB METRO,2325
14,2010,12,ADOPTION,WEB PF,2326
5,2010,12,DIED,,2327
2,2010,12,DIED,ENROUTE,2328
5,2010,12,DIED,IN FOSTER,2329
8,2010,12,DIED,IN KENNEL,2330
1,2010,12,DIED,IN SURGERY,2331
1,2010,12,DISPOSAL,DEAD ARRIV,2332
59,2010,12,EUTH,,2333
15,2010,12,EUTH,BEHAV HIST,2334
74,2010,12,EUTH,BEHAV OBSV,2335
32,2010,12,EUTH,BREED,2336
32,2010,12,EUTH,CONTAG DIS,2337
4,2010,12,EUTH,FERAL,2338
88,2010,12,EUTH,MEDICAL,2339
22,2010,12,EUTH,REQUESTED,2340
39,2010,12,EUTH,TIME/SPACE,2341
10,2010,12,EUTH,TOO OLD,2342
4,2010,12,EUTH,TOO YOUNG,2343
6,2010,12,FOSTER,,2344
1,2010,12,FOSTER,TIME/SPACE,2345
1,2010,12,MISSING,IN FOSTER,2346
19,2010,12,RELEASED,,2347
18,2010,12,RELEASED,IN SURGERY,2348
86,2010,12,RTO,,2349
2,2010,12,RTO,IN FIELD,2350
49,2010,12,TRANSFER,,2351
33,2010,12,TRANSFER,KHS,2352
84,2010,12,TRANSFER,RESCUE GRP,2353
11,2011,1,,,2354
12,2011,1,ADOPTION,,2355
3,2011,1,ADOPTION,3RD PARTY,2356
1,2011,1,ADOPTION,EXCHANGE,2357
28,2011,1,ADOPTION,FRIEND,2358
2,2011,1,ADOPTION,NEWSLETTER,2359
10,2011,1,ADOPTION,PROMO,2360
8,2011,1,ADOPTION,PRV ADOPT,2361
25,2011,1,ADOPTION,PS HURST,2362
2,2011,1,ADOPTION,REFERRAL,2363
1,2011,1,ADOPTION,TV OTHER,2364
66,2011,1,ADOPTION,WALK IN,2365
1,2011,1,ADOPTION,WEB METRO,2366
7,2011,1,ADOPTION,WEB PF,2367
2,2011,1,DIED,,2368
2,2011,1,DIED,ENROUTE,2369
3,2011,1,DIED,IN FOSTER,2370
4,2011,1,DIED,IN KENNEL,2371
1,2011,1,DIED,IN SURGERY,2372
2,2011,1,DISPOSAL,,2373
4,2011,1,DISPOSAL,DEAD ARRIV,2374
35,2011,1,EUTH,,2375
8,2011,1,EUTH,BEHAV HIST,2376
68,2011,1,EUTH,BEHAV OBSV,2377
23,2011,1,EUTH,BREED,2378
31,2011,1,EUTH,CONTAG DIS,2379
28,2011,1,EUTH,FERAL,2380
65,2011,1,EUTH,MEDICAL,2381
1,2011,1,EUTH,PREGNANT,2382
28,2011,1,EUTH,REQUESTED,2383
23,2011,1,EUTH,TIME/SPACE,2384
11,2011,1,EUTH,TOO OLD,2385
2,2011,1,FOSTER,TIME/SPACE,2386
21,2011,1,RELEASED,,2387
12,2011,1,RELEASED,IN SURGERY,2388
87,2011,1,RTO,,2389
3,2011,1,RTO,IN FIELD,2390
3,2011,1,TRANSFER,,2391
6,2011,1,TRANSFER,AN CONTROL,2392
57,2011,1,TRANSFER,KHS,2393
123,2011,1,TRANSFER,RESCUE GRP,2394
17,2011,2,,,2395
13,2011,2,ADOPTION,,2396
3,2011,2,ADOPTION,3RD PARTY,2397
16,2011,2,ADOPTION,FRIEND,2398
2,2011,2,ADOPTION,PROMO,2399
8,2011,2,ADOPTION,PRV ADOPT,2400
23,2011,2,ADOPTION,PS HURST,2401
1,2011,2,ADOPTION,REFERRAL,2402
1,2011,2,ADOPTION,TV METRO,2403
1,2011,2,ADOPTION,TV WHAS,2404
78,2011,2,ADOPTION,WALK IN,2405
3,2011,2,ADOPTION,WEB METRO,2406
26,2011,2,ADOPTION,WEB PF,2407
4,2011,2,DIED,,2408
3,2011,2,DIED,ENROUTE,2409
3,2011,2,DIED,IN FOSTER,2410
1,2011,2,DIED,IN KENNEL,2411
1,2011,2,DIED,IN SURGERY,2412
1,2011,2,DISPOSAL,,2413
5,2011,2,DISPOSAL,DEAD ARRIV,2414
27,2011,2,EUTH,,2415
7,2011,2,EUTH,BEHAV HIST,2416
70,2011,2,EUTH,BEHAV OBSV,2417
17,2011,2,EUTH,BREED,2418
54,2011,2,EUTH,CONTAG DIS,2419
19,2011,2,EUTH,FERAL,2420
32,2011,2,EUTH,MEDICAL,2421
5,2011,2,EUTH,PREGNANT,2422
40,2011,2,EUTH,REQUESTED,2423
4,2011,2,EUTH,TOO OLD,2424
1,2011,2,FOSTER,PREGNANT,2425
1,2011,2,FOSTER,TIME/SPACE,2426
21,2011,2,RELEASED,,2427
23,2011,2,RELEASED,IN SURGERY,2428
2,2011,2,RELOCATE,,2429
89,2011,2,RTO,,2430
9,2011,2,RTO,IN FIELD,2431
10,2011,2,TRANSFER,,2432
45,2011,2,TRANSFER,KHS,2433
80,2011,2,TRANSFER,RESCUE GRP,2434
22,2011,3,,,2435
7,2011,3,ADOPTION,,2436
4,2011,3,ADOPTION,3RD PARTY,2437
24,2011,3,ADOPTION,FRIEND,2438
1,2011,3,ADOPTION,PROMO,2439
6,2011,3,ADOPTION,PRV ADOPT,2440
20,2011,3,ADOPTION,PS HURST,2441
1,2011,3,ADOPTION,TV OTHER,2442
76,2011,3,ADOPTION,WALK IN,2443
1,2011,3,ADOPTION,WEB METRO,2444
30,2011,3,ADOPTION,WEB PF,2445
5,2011,3,DIED,,2446
3,2011,3,DIED,AT VET,2447
5,2011,3,DIED,ENROUTE,2448
3,2011,3,DIED,IN KENNEL,2449
2,2011,3,DISPOSAL,,2450
2,2011,3,DISPOSAL,DEAD ARRIV,2451
25,2011,3,EUTH,,2452
9,2011,3,EUTH,BEHAV HIST,2453
102,2011,3,EUTH,BEHAV OBSV,2454
31,2011,3,EUTH,BREED,2455
61,2011,3,EUTH,CONTAG DIS,2456
32,2011,3,EUTH,FERAL,2457
48,2011,3,EUTH,MEDICAL,2458
2,2011,3,EUTH,PREGNANT,2459
52,2011,3,EUTH,REQUESTED,2460
26,2011,3,EUTH,TIME/SPACE,2461
4,2011,3,EUTH,TOO OLD,2462
3,2011,3,EUTH,TOO YOUNG,2463
1,2011,3,FOSTER,,2464
1,2011,3,MISSING,IN FOSTER,2465
1,2011,3,NO SHOW,,2466
34,2011,3,RELEASED,,2467
35,2011,3,RELEASED,IN SURGERY,2468
1,2011,3,RELEASED,MEDICAL,2469
3,2011,3,RELOCATE,,2470
137,2011,3,RTO,,2471
9,2011,3,RTO,IN FIELD,2472
39,2011,3,TRANSFER,,2473
2,2011,3,TRANSFER,AN CONTROL,2474
71,2011,3,TRANSFER,KHS,2475
127,2011,3,TRANSFER,RESCUE GRP,2476
2,2011,3,TRANSFER,WILDLIFE,2477
65,2011,4,,,2478
3,2011,4,ADOPTION,,2479
2,2011,4,ADOPTION,3RD PARTY,2480
1,2011,4,ADOPTION,EXCHANGE,2481
1,2011,4,ADOPTION,FOSTER,2482
9,2011,4,ADOPTION,FRIEND,2483
2,2011,4,ADOPTION,NEWSLETTER,2484
3,2011,4,ADOPTION,PROMO,2485
4,2011,4,ADOPTION,PRV ADOPT,2486
13,2011,4,ADOPTION,PS HURST,2487
1,2011,4,ADOPTION,REFERRAL,2488
2,2011,4,ADOPTION,TV WHAS,2489
75,2011,4,ADOPTION,WALK IN,2490
2,2011,4,ADOPTION,WEB METRO,2491
31,2011,4,ADOPTION,WEB PF,2492
2,2011,4,DIED,,2493
2,2011,4,DIED,AT VET,2494
2,2011,4,DIED,ENROUTE,2495
7,2011,4,DIED,IN FOSTER,2496
3,2011,4,DIED,IN KENNEL,2497
4,2011,4,DISPOSAL,,2498
9,2011,4,DISPOSAL,DEAD ARRIV,2499
38,2011,4,EUTH,,2500
7,2011,4,EUTH,BEHAV HIST,2501
88,2011,4,EUTH,BEHAV OBSV,2502
31,2011,4,EUTH,BREED,2503
51,2011,4,EUTH,CONTAG DIS,2504
31,2011,4,EUTH,FERAL,2505
45,2011,4,EUTH,MEDICAL,2506
39,2011,4,EUTH,REQUESTED,2507
13,2011,4,EUTH,TIME/SPACE,2508
11,2011,4,EUTH,TOO OLD,2509
22,2011,4,EUTH,TOO YOUNG,2510
2,2011,4,FOSTER,,2511
1,2011,4,FOSTER,MEDICAL,2512
2,2011,4,FOSTER,TIME/SPACE,2513
2,2011,4,FOSTER,TOO YOUNG,2514
1,2011,4,MISSING,IN FOSTER,2515
1,2011,4,NO SHOW,,2516
21,2011,4,RELEASED,,2517
15,2011,4,RELEASED,IN SURGERY,2518
10,2011,4,RELOCATE,,2519
106,2011,4,RTO,,2520
10,2011,4,RTO,IN FIELD,2521
37,2011,4,TRANSFER,,2522
3,2011,4,TRANSFER,AN CONTROL,2523
108,2011,4,TRANSFER,KHS,2524
203,2011,4,TRANSFER,RESCUE GRP,2525
12,2011,5,,,2526
1,2011,5,,DEAD ARRIV,2527
4,2011,5,ADOPTION,,2528
4,2011,5,ADOPTION,3RD PARTY,2529
1,2011,5,ADOPTION,EXCHANGE,2530
1,2011,5,ADOPTION,FOSTER,2531
13,2011,5,ADOPTION,FRIEND,2532
1,2011,5,ADOPTION,NEWSLETTER,2533
2,2011,5,ADOPTION,PRV ADOPT,2534
14,2011,5,ADOPTION,PS HURST,2535
6,2011,5,ADOPTION,REFERRAL,2536
1,2011,5,ADOPTION,TV OTHER,2537
49,2011,5,ADOPTION,WALK IN,2538
3,2011,5,ADOPTION,WEB METRO,2539
38,2011,5,ADOPTION,WEB PF,2540
3,2011,5,DIED,,2541
2,2011,5,DIED,AT VET,2542
1,2011,5,DIED,ENROUTE,2543
23,2011,5,DIED,IN FOSTER,2544
8,2011,5,DIED,IN KENNEL,2545
2,2011,5,DISPOSAL,DEAD ARRIV,2546
14,2011,5,EUTH,,2547
6,2011,5,EUTH,BEHAV HIST,2548
71,2011,5,EUTH,BEHAV OBSV,2549
12,2011,5,EUTH,BREED,2550
65,2011,5,EUTH,CONTAG DIS,2551
13,2011,5,EUTH,FERAL,2552
83,2011,5,EUTH,MEDICAL,2553
74,2011,5,EUTH,REQUESTED,2554
6,2011,5,EUTH,TIME/SPACE,2555
13,2011,5,EUTH,TOO OLD,2556
42,2011,5,EUTH,TOO YOUNG,2557
9,2011,5,FOSTER,,2558
3,2011,5,FOSTER,MEDICAL,2559
1,2011,5,FOSTER,TIME/SPACE,2560
2,2011,5,FOSTER,TOO YOUNG,2561
11,2011,5,RELEASED,,2562
18,2011,5,RELEASED,IN SURGERY,2563
119,2011,5,RTO,,2564
4,2011,5,RTO,IN FIELD,2565
14,2011,5,TRANSFER,,2566
88,2011,5,TRANSFER,KHS,2567
229,2011,5,TRANSFER,RESCUE GRP,2568
1,2011,5,TRANSFER,TNR,2569
4,2011,6,,,2570
2,2011,6,,IN FIELD,2571
10,2011,6,ADOPTION,,2572
2,2011,6,ADOPTION,3RD PARTY,2573
3,2011,6,ADOPTION,EXCHANGE,2574
1,2011,6,ADOPTION,FACEBOOK,2575
26,2011,6,ADOPTION,FRIEND,2576
1,2011,6,ADOPTION,INTERNET,2577
1,2011,6,ADOPTION,NEWSLETTER,2578
60,2011,6,ADOPTION,PROMO,2579
11,2011,6,ADOPTION,PRV ADOPT,2580
16,2011,6,ADOPTION,PS HURST,2581
2,2011,6,ADOPTION,RADIO MAX,2582
1,2011,6,ADOPTION,RADIO WDJX,2583
13,2011,6,ADOPTION,REFERRAL,2584
20,2011,6,ADOPTION,TV OTHER,2585
3,2011,6,ADOPTION,TV WHAS,2586
13,2011,6,ADOPTION,TV WLKY,2587
87,2011,6,ADOPTION,WALK IN,2588
11,2011,6,ADOPTION,WEB METRO,2589
17,2011,6,ADOPTION,WEB PF,2590
1,2011,6,ADOPTION,WEB PH,2591
5,2011,6,DIED,,2592
6,2011,6,DIED,ENROUTE,2593
13,2011,6,DIED,IN FOSTER,2594
15,2011,6,DIED,IN KENNEL,2595
3,2011,6,DISPOSAL,DEAD ARRIV,2596
6,2011,6,EUTH,,2597
9,2011,6,EUTH,BEHAV HIST,2598
64,2011,6,EUTH,BEHAV OBSV,2599
17,2011,6,EUTH,BREED,2600
83,2011,6,EUTH,CONTAG DIS,2601
31,2011,6,EUTH,FERAL,2602
139,2011,6,EUTH,MEDICAL,2603
83,2011,6,EUTH,REQUESTED,2604
33,2011,6,EUTH,TIME/SPACE,2605
11,2011,6,EUTH,TOO OLD,2606
117,2011,6,EUTH,TOO YOUNG,2607
7,2011,6,FOSTER,,2608
1,2011,6,FOSTER,BREED,2609
1,2011,6,FOSTER,CONTAG DIS,2610
1,2011,6,FOSTER,RESCUE GRP,2611
2,2011,6,FOSTER,TOO OLD,2612
5,2011,6,FOSTER,TOO YOUNG,2613
1,2011,6,MISSING,,2614
5,2011,6,RELEASED,,2615
1,2011,6,RELEASED,MEDICAL,2616
86,2011,6,RTO,,2617
7,2011,6,RTO,IN FIELD,2618
2,2011,6,TRANSFER,,2619
46,2011,6,TRANSFER,KHS,2620
148,2011,6,TRANSFER,RESCUE GRP,2621
11,2011,7,ADOPTION,,2622
7,2011,7,ADOPTION,3RD PARTY,2623
1,2011,7,ADOPTION,EXCHANGE,2624
3,2011,7,ADOPTION,FACEBOOK,2625
